Id,Label,type
Henry B. Walthall,Henry B. Walthall,Actor
Ruth Clifford,Ruth Clifford,Actor
Ralph Emerson,Ralph Emerson,Actor
Frederick Sullivan,Frederick Sullivan,Actor
Alma Bennett,Alma Bennett,Actor
Norval MacGregor,Norval MacGregor,Actor
Michael Dark,Michael Dark,Actor
Gus Saville,Gus Saville,Actor
Tom Mix,Tom Mix,Actor
Kathleen Key,Kathleen Key,Actor
Frank Campeau,Frank Campeau,Actor
Eugene Pallette,Eugene Pallette,Actor
Frank Leigh,Frank Leigh,Actor
Fred Kohler,Fred Kohler,Actor
Edward Peil Sr.,Edward Peil Sr.,Actor
Margaret Joslin,Margaret Joslin,Actor
Harry Todd,Harry Todd,Actor
Buster Gardner,Buster Gardner,Actor
Tony the Horse,Tony the Horse,Actor
Clarence Geldert,Clarence Geldert,Actor
Lydia Knott,Lydia Knott,Actor
Charles K. French,Charles K. French,Actor
Adolphe Menjou,Adolphe Menjou,Actor
Betty Morrissey,Betty Morrissey,Actor
Malvina Polo,Malvina Polo,Actor
Hobart Bosworth,Hobart Bosworth,Actor
Pauline Starke,Pauline Starke,Actor
Theodore von Eltz,Theodore von Eltz,Actor
James Gordon,James Gordon,Actor
Francis Powers,Francis Powers,Actor
Frances Teague,Frances Teague,Actor
Gladys Hulette,Gladys Hulette,Actor
Regina Connelly,Regina Connelly,Actor
Marc McDermott,Marc McDermott,Actor
Trilby Clark,Trilby Clark,Actor
Eddie Gribbon,Eddie Gribbon,Actor
George O'Brien,George O'Brien,Actor
Billie Dove,Billie Dove,Actor
Victor McLaglen,Victor McLaglen,Actor
Diana Miller,Diana Miller,Actor
Bert Woodruff,Bert Woodruff,Actor
Hazel Howell,Hazel Howell,Actor
James A. Marcus,James A. Marcus,Actor
Tom Murray,Tom Murray,Actor
Malcolm Waite,Malcolm Waite,Actor
Georgia Hale,Georgia Hale,Actor
Jack Adams,Jack Adams,Actor
Frank Aderias,Frank Aderias,Actor
Leona Aderias,Leona Aderias,Actor
Lillian Adrian,Lillian Adrian,Actor
Virginia's Future,Virginia's Future,Actor
Negofol,Negofol,Actor
Morvich,Morvich,Actor
Confederacy,Confederacy,Actor
Man o' War,Man o' War,Actor
Fair Play,Fair Play,Actor
The Finn,The Finn,Actor
Peaches Jackson,Peaches Jackson,Actor
Jay Hunt,Jay Hunt,Actor
Madge Bellamy,Madge Bellamy,Actor
Wallace MacDonald,Wallace MacDonald,Actor
Ethel Clayton,Ethel Clayton,Actor
Edythe Chapman,Edythe Chapman,Actor
Otis Harlan,Otis Harlan,Actor
Brandon Hurst,Brandon Hurst,Actor
Richard Travers,Richard Travers,Actor
Carmelita Geraghty,Carmelita Geraghty,Actor
Miles Mander,Miles Mander,Actor
John Stuart,John Stuart,Actor
Ferdinand Martini,Ferdinand Martini,Actor
Florence Helminger,Florence Helminger,Actor
Georg H. Schnell,Georg H. Schnell,Actor
Karl Falkenberg,Karl Falkenberg,Actor
Louis Brody,Louis Brody,Actor
Elizabeth Pappritz,Elizabeth Pappritz,Actor
Jacqueline Logan,Jacqueline Logan,Actor
Alec B. Francis,Alec B. Francis,Actor
Cyril Chadwick,Cyril Chadwick,Actor
Marion Harlan,Marion Harlan,Actor
George Fawcett,George Fawcett,Actor
Edith Bostwick,Edith Bostwick,Actor
Janet Gaynor,Janet Gaynor,Actor
William Russell,William Russell,Actor
Margaret Livingston,Margaret Livingston,Actor
Robert Edeson,Robert Edeson,Actor
Philip Ford,Philip Ford,Actor
Lew Short,Lew Short,Actor
Ralph Sipperly,Ralph Sipperly,Actor
Jerry Madden,Jerry Madden,Actor
June Tripp,June Tripp,Actor
Ivor Novello,Ivor Novello,Actor
Marie Ault,Marie Ault,Actor
Arthur Chesney,Arthur Chesney,Actor
Malcolm Keen,Malcolm Keen,Actor
Wallace Bosco,Wallace Bosco,Actor
Daisy Campbell,Daisy Campbell,Actor
Maudie Dunham,Maudie Dunham,Actor
Reginald Gardiner,Reginald Gardiner,Actor
Eve Gray,Eve Gray,Actor
Leslie Fenton,Leslie Fenton,Actor
Louis Payne,Louis Payne,Actor
Claire McDowell,Claire McDowell,Actor
Willard Louis,Willard Louis,Actor
Andy Clark,Andy Clark,Actor
George Harris,George Harris,Actor
Ely Reynolds,Ely Reynolds,Actor
Thomas Delmar,Thomas Delmar,Actor
Olive Borden,Olive Borden,Actor
Lou Tellegen,Lou Tellegen,Actor
Tom Santschi,Tom Santschi,Actor
Priscilla Bonner,Priscilla Bonner,Actor
Phyllis Haver,Phyllis Haver,Actor
Ben Webster,Ben Webster,Actor
Norman McKinnel,Norman McKinnel,Actor
Robin Irvine,Robin Irvine,Actor
Jerrold Robertshaw,Jerrold Robertshaw,Actor
Sybil Rhoda,Sybil Rhoda,Actor
Annette Benson,Annette Benson,Actor
Lilian Braithwaite,Lilian Braithwaite,Actor
Isabel Jeans,Isabel Jeans,Actor
Ian Hunter,Ian Hunter,Actor
Franklin Dyall,Franklin Dyall,Actor
Eric Bransby Williams,Eric Bransby Williams,Actor
Violet Farebrother,Violet Farebrother,Actor
Frank Elliott,Frank Elliott,Actor
Dacia Deane,Dacia Deane,Actor
Dorothy Boyd,Dorothy Boyd,Actor
Enid Stamp-Taylor,Enid Stamp-Taylor,Actor
Carl Brisson,Carl Brisson,Actor
Lillian Hall-Davis,Lillian Hall-Davis,Actor
Forrester Harvey,Forrester Harvey,Actor
Harry Terry,Harry Terry,Actor
Gordon Harker,Gordon Harker,Actor
Eugene Corri,Eugene Corri,Actor
Charles Farrell,Charles Farrell,Actor
Clare Greet,Clare Greet,Actor
Lawrence Hanray,Lawrence Hanray,Actor
Earle Foxe,Earle Foxe,Actor
Nancy Nash,Nancy Nash,Actor
Grant Withers,Grant Withers,Actor
Emile Chautard,Emile Chautard,Actor
Raymond Hitchcock,Raymond Hitchcock,Actor
Ted McNamara,Ted McNamara,Actor
Sammy Cohen,Sammy Cohen,Actor
Jane Winton,Jane Winton,Actor
Lillian Worth,Lillian Worth,Actor
Betty Balfour,Betty Balfour,Actor
Jean Bradin,Jean Bradin,Actor
Ferdinand von Alten,Ferdinand von Alten,Actor
Vivian Gibson,Vivian Gibson,Actor
Clifford Heatherley,Clifford Heatherley,Actor
Claude Hulbert,Claude Hulbert,Actor
Hannah Jones,Hannah Jones,Actor
Phyllis Konstam,Phyllis Konstam,Actor
Gwen Mannering,Gwen Mannering,Actor
Merna Kennedy,Merna Kennedy,Actor
Harry Crocker,Harry Crocker,Actor
George Davis,George Davis,Actor
Tiny Sandford,Tiny Sandford,Actor
Steve Murphy,Steve Murphy,Actor
Jameson Thomas,Jameson Thomas,Actor
Gibb McLaughlin,Gibb McLaughlin,Actor
Maud Gill,Maud Gill,Actor
Louie Pounds,Louie Pounds,Actor
Olga Slade,Olga Slade,Actor
Ruth Maitland,Ruth Maitland,Actor
Antonia Brough,Antonia Brough,Actor
Haward Watts,Haward Watts,Actor
James Hall,James Hall,Actor
Margaret Mann,Margaret Mann,Actor
Charles Morton,Charles Morton,Actor
Francis X. Bushman Jr.,Francis X. Bushman Jr.,Actor
George Meeker,George Meeker,Actor
June Collyer,June Collyer,Actor
Albert Gran,Albert Gran,Actor
Frank Reicher,Frank Reicher,Actor
Archduke Leopold of Austria,Archduke Leopold of Austria,Actor
Otto Matieson,Otto Matieson,Actor
Natalie Golitzen,Natalie Golitzen,Actor
Philippe De Lacy,Philippe De Lacy,Actor
D'Arcy Corrigan,D'Arcy Corrigan,Actor
Russ Powell,Russ Powell,Actor
Michael Mark,Michael Mark,Actor
Buddy Roosevelt,Buddy Roosevelt,Actor
Ervin Renard,Ervin Renard,Actor
Myrna Loy,Myrna Loy,Actor
David Torrence,David Torrence,Actor
David Rollins,David Rollins,Actor
Lumsden Hare,Lumsden Hare,Actor
Roy D'Arcy,Roy D'Arcy,Actor
David Percy,David Percy,Actor
Mitchell Lewis,Mitchell Lewis,Actor
Claude King,Claude King,Actor
Anny Ondra,Anny Ondra,Actor
John Longden,John Longden,Actor
Sara Allgood,Sara Allgood,Actor
Charles Paton,Charles Paton,Actor
Donald Calthrop,Donald Calthrop,Actor
Cyril Ritchard,Cyril Ritchard,Actor
Harvey Braban,Harvey Braban,Actor
Ex-Det. Sergt. Bishop,Ex-Det. Sergt. Bishop,Actor
Johnny Ashby,Johnny Ashby,Actor
Randle Ayrton,Randle Ayrton,Actor
Kim Peacock,Kim Peacock,Actor
Nellie Richards,Nellie Richards,Actor
Wilfred Shine,Wilfred Shine,Actor
Leatrice Joy,Leatrice Joy,Actor
Clyde Cook,Clyde Cook,Actor
Douglas Scott,Douglas Scott,Actor
Eulalie Jensen,Eulalie Jensen,Actor
Edmund Lowe,Edmund Lowe,Actor
Catherine Dale Owen,Catherine Dale Owen,Actor
William Harrigan,William Harrigan,Actor
Marguerite Churchill,Marguerite Churchill,Actor
Warren Hymer,Warren Hymer,Actor
Lee Tracy,Lee Tracy,Actor
Frank Albertson,Frank Albertson,Actor
Ilka Chase,Ilka Chase,Actor
Ferike Boros,Ferike Boros,Actor
Paul Porcasi,Paul Porcasi,Actor
Helen Burnell,Helen Burnell,Actor
Bobbie Comber,Bobbie Comber,Actor
Lawrence Green,Lawrence Green,Actor
Ivor McLaren,Ivor McLaren,Actor
Edward Chapman,Edward Chapman,Actor
Barry Fitzgerald,Barry Fitzgerald,Actor
Maire O'Neill,Maire O'Neill,Actor
Sidney Morgan,Sidney Morgan,Actor
John Laurie,John Laurie,Actor
Dave Morris,Dave Morris,Actor
Kathleen O'Regan,Kathleen O'Regan,Actor
Dennis Wyndham,Dennis Wyndham,Actor
Alfred Abel,Alfred Abel,Actor
Olga Tschechowa,Olga Tschechowa,Actor
