Id,Label,type
Frank Baker,Frank Baker,Actor
James Hong,James Hong,Actor
Kurt Katch,Kurt Katch,Actor
Betty Lynn,Betty Lynn,Actor
Pat O'Malley,Pat O'Malley,Actor
Donald Somers,Donald Somers,Actor
Judy Wong,Judy Wong,Actor
Soo Yong,Soo Yong,Actor
Irene Kane,Irene Kane,Actor
Jamie Smith,Jamie Smith,Actor
Jerry Jarrett,Jerry Jarrett,Actor
Mike Dana,Mike Dana,Actor
Felice Orlandi,Felice Orlandi,Actor
Shaun O'Brien,Shaun O'Brien,Actor
Barbara Brand,Barbara Brand,Actor
David Vaughan,David Vaughan,Actor
Alec Rubin,Alec Rubin,Actor
Sven Lindberg,Sven Lindberg,Actor
Kerstin Hedeby,Kerstin Hedeby,Actor
Siv Ericks,Siv Ericks,Actor
Gösta Prüzelius,Gösta Prüzelius,Actor
Tyrone Power,Tyrone Power,Actor
Robert Francis,Robert Francis,Actor
Betsy Palmer,Betsy Palmer,Actor
Philip Carey,Philip Carey,Actor
William Leslie,William Leslie,Actor
Patrick Wayne,Patrick Wayne,Actor
William Powell,William Powell,Actor
Jack Lemmon,Jack Lemmon,Actor
Nick Adams,Nick Adams,Actor
Perry Lopez,Perry Lopez,Actor
Ken Curtis,Ken Curtis,Actor
Vera Miles,Vera Miles,Actor
Willis Bouchey,Willis Bouchey,Actor
Harry Tyler,Harry Tyler,Actor
William Forrest,William Forrest,Actor
Robert Lyden,Robert Lyden,Actor
Tiger Fafara,Tiger Fafara,Actor
Adam Fiut,Adam Fiut,Actor
Marilyn Monroe,Marilyn Monroe,Actor
Tom Ewell,Tom Ewell,Actor
Evelyn Keyes,Evelyn Keyes,Actor
Sonny Tufts,Sonny Tufts,Actor
Marguerite Chapman,Marguerite Chapman,Actor
Victor Moore,Victor Moore,Actor
Dolores Rosedale,Dolores Rosedale,Actor
Donald MacBride,Donald MacBride,Actor
Ulla Jacobsson,Ulla Jacobsson,Actor
Björn Bjelfvenstam,Björn Bjelfvenstam,Actor
Jullan Kindahl,Jullan Kindahl,Actor
Rossano Brazzi,Rossano Brazzi,Actor
Isa Miranda,Isa Miranda,Actor
Darren McGavin,Darren McGavin,Actor
Mari Aldon,Mari Aldon,Actor
Jane Rose,Jane Rose,Actor
MacDonald Parke,MacDonald Parke,Actor
Jeremy Spenser,Jeremy Spenser,Actor
Gaetano Autiero,Gaetano Autiero,Actor
Virginia Simeon,Virginia Simeon,Actor
Jessie Royce Landis,Jessie Royce Landis,Actor
Charles Vanel,Charles Vanel,Actor
Brigitte Auber,Brigitte Auber,Actor
Jean Martinelli,Jean Martinelli,Actor
Georgette Anys,Georgette Anys,Actor
George Adrian,George Adrian,Actor
John Alderson,John Alderson,Actor
John Forsythe,John Forsythe,Actor
Shirley MacLaine,Shirley MacLaine,Actor
Mildred Dunnock,Mildred Dunnock,Actor
Jerry Mathers,Jerry Mathers,Actor
Parker Fennelly,Parker Fennelly,Actor
Barry Macollum,Barry Macollum,Actor
Dwight Marfield,Dwight Marfield,Actor
Coleen Gray,Coleen Gray,Actor
Vince Edwards,Vince Edwards,Actor
Jay C. Flippen,Jay C. Flippen,Actor
Ted de Corsia,Ted de Corsia,Actor
Marie Windsor,Marie Windsor,Actor
James Edwards,James Edwards,Actor
Timothy Carey,Timothy Carey,Actor
Doris Day,Doris Day,Actor
Daniel Gélin,Daniel Gélin,Actor
Mogens Wieth,Mogens Wieth,Actor
Hillary Brooke,Hillary Brooke,Actor
Christopher Olsen,Christopher Olsen,Actor
Richard Basehart,Richard Basehart,Actor
Leo Genn,Leo Genn,Actor
James Robertson Justice,James Robertson Justice,Actor
Harry Andrews,Harry Andrews,Actor
Noel Purcell,Noel Purcell,Actor
Edric Connor,Edric Connor,Actor
Mervyn Johns,Mervyn Johns,Actor
Jeffrey Hunter,Jeffrey Hunter,Actor
Natalie Wood,Natalie Wood,Actor
Olive Carey,Olive Carey,Actor
Henry Brandon,Henry Brandon,Actor
Lee J. Cobb,Lee J. Cobb,Actor
Martin Balsam,Martin Balsam,Actor
John Fiedler,John Fiedler,Actor
E.G. Marshall,E.G. Marshall,Actor
Jack Klugman,Jack Klugman,Actor
Edward Binns,Edward Binns,Actor
Jack Warden,Jack Warden,Actor
Joseph Sweeney,Joseph Sweeney,Actor
Ed Begley,Ed Begley,Actor
Jack Hawkins,Jack Hawkins,Actor
Sessue Hayakawa,Sessue Hayakawa,Actor
James Donald,James Donald,Actor
Geoffrey Horne,Geoffrey Horne,Actor
André Morell,André Morell,Actor
Peter Williams,Peter Williams,Actor
John Boxer,John Boxer,Actor
Percy Herbert,Percy Herbert,Actor
Robert Mitchum,Robert Mitchum,Actor
Deborah Kerr,Deborah Kerr,Actor
Max von Sydow,Max von Sydow,Actor
Bibi Andersson,Bibi Andersson,Actor
Maxine Audley,Maxine Audley,Actor
Jerry Desmonde,Jerry Desmonde,Actor
Oliver Johnston,Oliver Johnston,Actor
Dawn Addams,Dawn Addams,Actor
Sidney James,Sidney James,Actor
Joan Ingram,Joan Ingram,Actor
Michael Chaplin,Michael Chaplin,Actor
John McLaren,John McLaren,Actor
Phil Brown,Phil Brown,Actor
Gary Cooper,Gary Cooper,Actor
Maurice Chevalier,Maurice Chevalier,Actor
John McGiver,John McGiver,Actor
Van Doude,Van Doude,Actor
Lise Bourdin,Lise Bourdin,Actor
Olga Valéry,Olga Valéry,Actor
Elga Andersen,Elga Andersen,Actor
Claude Ariel,Claude Ariel,Actor
Ralph Meeker,Ralph Meeker,Actor
George Macready,George Macready,Actor
Wayne Morris,Wayne Morris,Actor
Richard Anderson,Richard Anderson,Actor
Joe Turkel,Joe Turkel,Actor
Christiane Kubrick,Christiane Kubrick,Actor
Jerry Hausner,Jerry Hausner,Actor
Peter Capell,Peter Capell,Actor
Cyril Cusack,Cyril Cusack,Actor
Jack MacGowran,Jack MacGowran,Actor
Jimmy O'Dea,Jimmy O'Dea,Actor
Tony Quinn,Tony Quinn,Actor
Paul Farrell,Paul Farrell,Actor
Kevin Casey,Kevin Casey,Actor
Maureen Potter,Maureen Potter,Actor
Bengt Ekerot,Bengt Ekerot,Actor
Nils Poppe,Nils Poppe,Actor
Inga Gill,Inga Gill,Actor
Maud Hansson,Maud Hansson,Actor
Gunnel Lindblom,Gunnel Lindblom,Actor
Bertil Anderberg,Bertil Anderberg,Actor
Ingrid Thulin,Ingrid Thulin,Actor
Folke Sundquist,Folke Sundquist,Actor
Gunnel Broström,Gunnel Broström,Actor
Murray Hamilton,Murray Hamilton,Actor
Patricia Smith,Patricia Smith,Actor
Bartlett Robinson,Bartlett Robinson,Actor
Marc Connelly,Marc Connelly,Actor
Arthur Space,Arthur Space,Actor
Charles Watts,Charles Watts,Actor
Erville Alderson,Erville Alderson,Actor
Frances Allen,Frances Allen,Actor
David Alpert,David Alpert,Actor
Nikola Todorow,Nikola Todorow,Actor
Kenneth Tobey,Kenneth Tobey,Actor
James Todd,James Todd,Actor
Elsa Lanchester,Elsa Lanchester,Actor
Torin Thatcher,Torin Thatcher,Actor
Norma Varden,Norma Varden,Actor
Anthony Quayle,Anthony Quayle,Actor
Harold J. Stone,Harold J. Stone,Actor
Charles Cooper,Charles Cooper,Actor
John Heldabrand,John Heldabrand,Actor
Esther Minciotti,Esther Minciotti,Actor
Doreen Lang,Doreen Lang,Actor
Laurinda Barrett,Laurinda Barrett,Actor
Norma Connolly,Norma Connolly,Actor
Toivo Pawlo,Toivo Pawlo,Actor
Erland Josephson,Erland Josephson,Actor
Eiko Ando,Eiko Ando,Actor
Sô Yamamura,Sô Yamamura,Actor
Ryuzo Demura,Ryuzo Demura,Actor
Kodayû Ichikawa,Kodayû Ichikawa,Actor
Tokujiro Iketaniuchi,Tokujiro Iketaniuchi,Actor
Fuji Kasai,Fuji Kasai,Actor
Takeshi Kumagai,Takeshi Kumagai,Actor
Fuyukichi Maki,Fuyukichi Maki,Actor
Jakub Goldberg,Jakub Goldberg,Actor
Henryk Kluba,Henryk Kluba,Actor
Andrzej Kondratiuk,Andrzej Kondratiuk,Actor
Barbara Lass,Barbara Lass,Actor
Stanislaw Michalski,Stanislaw Michalski,Actor
Anna Massey,Anna Massey,Actor
Andrew Ray,Andrew Ray,Actor
Howard Marion-Crawford,Howard Marion-Crawford,Actor
Barry Keegan,Barry Keegan,Actor
Michael Trubshawe,Michael Trubshawe,Actor
Derek Bond,Derek Bond,Actor
Dianne Foster,Dianne Foster,Actor
Basil Rathbone,Basil Rathbone,Actor
Barbro Hiort af Ornäs,Barbro Hiort af Ornäs,Actor
Gunnar Sjöberg,Gunnar Sjöberg,Actor
Ann-Marie Gyllenspetz,Ann-Marie Gyllenspetz,Actor
Kristina Adolphson,Kristina Adolphson,Actor
Errol Flynn,Errol Flynn,Actor
Juliette Gréco,Juliette Gréco,Actor
Eddie Albert,Eddie Albert,Actor
Orson Welles,Orson Welles,Actor
Herbert Lom,Herbert Lom,Actor
Grégoire Aslan,Grégoire Aslan,Actor
André Luguet,André Luguet,Actor
Friedrich von Ledebur,Friedrich von Ledebur,Actor
Susan Strasberg,Susan Strasberg,Actor
Joan Greenwood,Joan Greenwood,Actor
Christopher Plummer,Christopher Plummer,Actor
Daniel Ocko,Daniel Ocko,Actor
Pat Harrington Sr.,Pat Harrington Sr.,Actor
Frank Campanella,Frank Campanella,Actor
Pat Englund,Pat Englund,Actor
Kim Novak,Kim Novak,Actor
Barbara Bel Geddes,Barbara Bel Geddes,Actor
Tom Helmore,Tom Helmore,Actor
Henry Jones,Henry Jones,Actor
Raymond Bailey,Raymond Bailey,Actor
Ellen Corby,Ellen Corby,Actor
Konstantin Shayne,Konstantin Shayne,Actor
David Ahdar,David Ahdar,Actor
Marlon Brando,Marlon Brando,Actor
Joanne Woodward,Joanne Woodward,Actor
Anna Magnani,Anna Magnani,Actor
Maureen Stapleton,Maureen Stapleton,Actor
Victor Jory,Victor Jory,Actor
R.G. Armstrong,R.G. Armstrong,Actor
Virgilia Chew,Virgilia Chew,Actor
Ben Yaffee,Ben Yaffee,Actor
Joe Brown Jr.,Joe Brown Jr.,Actor
Mary Perry,Mary Perry,Actor
Ryszard Filipski,Ryszard Filipski,Actor
Andrzej Kostenko,Andrzej Kostenko,Actor
Constance Towers,Constance Towers,Actor
Judson Pratt,Judson Pratt,Actor
Bing Russell,Bing Russell,Actor
Hank Worden,Hank Worden,Actor
Ivan Pereverzev,Ivan Pereverzev,Actor
Aleksandr Shvorin,Aleksandr Shvorin,Actor
Konstantin Bartashevich,Konstantin Bartashevich,Actor
Gurgen Tonunts,Gurgen Tonunts,Actor
Valentin Chernyak,Valentin Chernyak,Actor
Viktor Dobrovolsky,Viktor Dobrovolsky,Actor
Aleksandra Popova,Aleksandra Popova,Actor
Taisiya Litvinenko,Taisiya Litvinenko,Actor
Larysa Borysenko,Larysa Borysenko,Actor
Lev Lobov,Lev Lobov,Actor
Eva Marie Saint,Eva Marie Saint,Actor
James Mason,James Mason,Actor
Josephine Hutchinson,Josephine Hutchinson,Actor
Philip Ober,Philip Ober,Actor
Martin Landau,Martin Landau,Actor
Adam Williams,Adam Williams,Actor
Edward Platt,Edward Platt,Actor
Tony Curtis,Tony Curtis,Actor
George Raft,George Raft,Actor
Joe E. Brown,Joe E. Brown,Actor
Nehemiah Persoff,Nehemiah Persoff,Actor
Joan Shawlee,Joan Shawlee,Actor
Billy Gray,Billy Gray,Actor
George E. Stone,George E. Stone,Actor
Sophia Loren,Sophia Loren,Actor
Tab Hunter,Tab Hunter,Actor
Barbara Nichols,Barbara Nichols,Actor
Keenan Wynn,Keenan Wynn,Actor
Bea Arthur,Bea Arthur,Actor
Attilio Barbato,Attilio Barbato,Actor
Stephen Bolster,Stephen Bolster,Actor
Raymond Bramley,Raymond Bramley,Actor
Ray Walston,Ray Walston,Actor
Jack Kruschen,Jack Kruschen,Actor
David Lewis,David Lewis,Actor
Hope Holiday,Hope Holiday,Actor
Naomi Stevens,Naomi Stevens,Actor
Johnny Seven,Johnny Seven,Actor
Stig Järrel,Stig Järrel,Actor
Sture Lagerwall,Sture Lagerwall,Actor
Torsten Winge,Torsten Winge,Actor
Axel Düberg,Axel Düberg,Actor
Terry Carter,Terry Carter,Actor
Ossie Davis,Ossie Davis,Actor
Robert Duvall,Robert Duvall,Actor
Birgitta Pettersson,Birgitta Pettersson,Actor
Tor Isedal,Tor Isedal,Actor
Allan Edwall,Allan Edwall,Actor
Ove Porath,Ove Porath,Actor
Axel Slangus,Axel Slangus,Actor
Anthony Perkins,Anthony Perkins,Actor
Janet Leigh,Janet Leigh,Actor
John Gavin,John Gavin,Actor
Simon Oakland,Simon Oakland,Actor
Vaughn Taylor,Vaughn Taylor,Actor
Woody Strode,Woody Strode,Actor
Juano Hernandez,Juano Hernandez,Actor
Carleton Young,Carleton Young,Actor
Phil Adams,Phil Adams,Actor
Mario Arteaga,Mario Arteaga,Actor
Peter Ustinov,Peter Ustinov,Actor
Nina Foch,Nina Foch,Actor
Burt Lancaster,Burt Lancaster,Actor
John Saxon,John Saxon,Actor
Charles Bickford,Charles Bickford,Actor
Lillian Gish,Lillian Gish,Actor
Albert Salmi,Albert Salmi,Actor
Joseph Wiseman,Joseph Wiseman,Actor
June Walker,June Walker,Actor
Kipp Hamilton,Kipp Hamilton,Actor
Anne Spielberg,Anne Spielberg,Actor
André Katelbach,André Katelbach,Actor
Eli Wallach,Eli Wallach,Actor
James Barton,James Barton,Actor
Kevin McCarthy,Kevin McCarthy,Actor
Estelle Winwood,Estelle Winwood,Actor
Peggy Barton,Peggy Barton,Actor
Rex Bell,Rex Bell,Actor
Horst Buchholz,Horst Buchholz,Actor
Pamela Tiffin,Pamela Tiffin,Actor
Arlene Francis,Arlene Francis,Actor
Liselotte Pulver,Liselotte Pulver,Actor
Hanns Lothar,Hanns Lothar,Actor
Leon Askin,Leon Askin,Actor
Ralf Wolter,Ralf Wolter,Actor
Karl Lieffen,Karl Lieffen,Actor
Lars Passgård,Lars Passgård,Actor
Richard Widmark,Richard Widmark,Actor
Shirley Jones,Shirley Jones,Actor
Linda Cristal,Linda Cristal,Actor
Paul Birch,Paul Birch,Actor
Edgar Buchanan,Edgar Buchanan,Actor
Tige Andrews,Tige Andrews,Actor
Stephanie Hill,Stephanie Hill,Actor
Charles Seel,Charles Seel,Actor
Susannah York,Susannah York,Actor
Larry Parks,Larry Parks,Actor
Susan Kohner,Susan Kohner,Actor
Eileen Herlie,Eileen Herlie,Actor
Fernand Ledoux,Fernand Ledoux,Actor
David McCallum,David McCallum,Actor
Rosalie Crutchley,Rosalie Crutchley,Actor
David Kossoff,David Kossoff,Actor
Joseph Fürst,Joseph Fürst,Actor
Carroll Baker,Carroll Baker,Actor
Carolyn Jones,Carolyn Jones,Actor
George Peppard,George Peppard,Actor
Robert Preston,Robert Preston,Actor
Peter O'Toole,Peter O'Toole,Actor
Anthony Quinn,Anthony Quinn,Actor
Omar Sharif,Omar Sharif,Actor
Arthur Kennedy,Arthur Kennedy,Actor
Donald Wolfit,Donald Wolfit,Actor
Shelley Winters,Shelley Winters,Actor
Sue Lyon,Sue Lyon,Actor
Gary Cockrell,Gary Cockrell,Actor
Jerry Stovin,Jerry Stovin,Actor
Diana Decker,Diana Decker,Actor
Lois Maxwell,Lois Maxwell,Actor
Cec Linder,Cec Linder,Actor
Bill Greene,Bill Greene,Actor
Shirley Douglas,Shirley Douglas,Actor
Jason Robards,Jason Robards,Actor
Dean Stockwell,Dean Stockwell,Actor
Jeanne Barr,Jeanne Barr,Actor
Lee Marvin,Lee Marvin,Actor
Edmond O'Brien,Edmond O'Brien,Actor
Ken Murray,Ken Murray,Actor
Jeanette Nolan,Jeanette Nolan,Actor
Leon Niemczyk,Leon Niemczyk,Actor
Jolanta Umecka,Jolanta Umecka,Actor
Zygmunt Malanowicz,Zygmunt Malanowicz,Actor
Anna Ciepielewska,Anna Ciepielewska,Actor
June Wilkinson,June Wilkinson,Actor
Don Kenney,Don Kenney,Actor
Karin Dor,Karin Dor,Actor
Willy Fritsch,Willy Fritsch,Actor
Michael Cramer,Michael Cramer,Actor
Louise Lawson,Louise Lawson,Actor
Laura Cummings,Laura Cummings,Actor
Gigi Martine,Gigi Martine,Actor
Ann Perry,Ann Perry,Actor
Jan Davidson,Jan Davidson,Actor
Michal Zolnierkiewicz,Michal Zolnierkiewicz,Actor
Voytek Frykowski,Voytek Frykowski,Actor
Raf Vallone,Raf Vallone,Actor
Carol Lawrence,Carol Lawrence,Actor
Jean Sorel,Jean Sorel,Actor
Raymond Pellegrin,Raymond Pellegrin,Actor
Morris Carnovsky,Morris Carnovsky,Actor
Mickey Knox,Mickey Knox,Actor
Vincent Gardenia,Vincent Gardenia,Actor
Rod Taylor,Rod Taylor,Actor
Tippi Hedren,Tippi Hedren,Actor
Jessica Tandy,Jessica Tandy,Actor
Suzanne Pleshette,Suzanne Pleshette,Actor
Veronica Cartwright,Veronica Cartwright,Actor
Ethel Griffies,Ethel Griffies,Actor
Charles McGraw,Charles McGraw,Actor
Ruth McDevitt,Ruth McDevitt,Actor
Lonny Chapman,Lonny Chapman,Actor
Joe Mantell,Joe Mantell,Actor
Ladislav Jakim,Ladislav Jakim,Actor
Pavla Martinkova,Pavla Martinkova,Actor
Jan Vostrcil,Jan Vostrcil,Actor
Bozena Matuskova,Bozena Matuskova,Actor
Pavel Sedlacek,Pavel Sedlacek,Actor
Vladimír Pucholt,Vladimír Pucholt,Actor
Zdenek Kulhanek,Zdenek Kulhanek,Actor
Frantisek Kosina,Frantisek Kosina,Actor
Josef Koza,Josef Koza,Actor
Antonín Pokorný,Antonín Pokorný,Actor
William Campbell,William Campbell,Actor
Luana Anders,Luana Anders,Actor
Bart Patton,Bart Patton,Actor
Mary Mitchel,Mary Mitchel,Actor
Patrick Magee,Patrick Magee,Actor
Eithne Dunne,Eithne Dunne,Actor
Peter Read,Peter Read,Actor
Karl Schanzer,Karl Schanzer,Actor
Ron Perry,Ron Perry,Actor
Derry O'Donavan,Derry O'Donavan,Actor
Elizabeth Allen,Elizabeth Allen,Actor
Mike Mazurki,Mike Mazurki,Actor
Jacqueline Malouf,Jacqueline Malouf,Actor
Peter Sellers,Peter Sellers,Actor
George C. Scott,George C. Scott,Actor
Slim Pickens,Slim Pickens,Actor
James Earl Jones,James Earl Jones,Actor
Tracy Reed,Tracy Reed,Actor
Jack Creley,Jack Creley,Actor
Frank Berry,Frank Berry,Actor
Lou Jacobi,Lou Jacobi,Actor
Bruce Yarnell,Bruce Yarnell,Actor
Herschel Bernardi,Herschel Bernardi,Actor
Grace Lee Whitney,Grace Lee Whitney,Actor
Paul Dubov,Paul Dubov,Actor
Howard McNear,Howard McNear,Actor
Frantisek Zeman,Frantisek Zeman,Actor
Vaclav Blumenfeld,Vaclav Blumenfeld,Actor
Václav Blumentál,Václav Blumentál,Actor
Marketa Krotka,Marketa Krotka,Actor
Petr Brozek,Petr Brozek,Actor
Dana Wynter,Dana Wynter,Actor
Clive Brook,Clive Brook,Actor
Jacques Roux,Jacques Roux,Actor
John Merivale,John Merivale,Actor
Kolbjörn Knudsen,Kolbjörn Knudsen,Actor
Olof Thunberg,Olof Thunberg,Actor
Elsa Ebbesen,Elsa Ebbesen,Actor
Lars-Olof Andersson,Lars-Olof Andersson,Actor
Eddie Axberg,Eddie Axberg,Actor
Håkan Jahnberg,Håkan Jahnberg,Actor
Jörgen Lindström,Jörgen Lindström,Actor
Lissi Alandh,Lissi Alandh,Actor
Karl-Arne Bergman,Karl-Arne Bergman,Actor
Leif Forstenberg,Leif Forstenberg,Actor
Eduardo Gutiérrez,Eduardo Gutiérrez,Actor
Eskil Kalling,Eskil Kalling,Actor
Zeph Michaelis,Zeph Michaelis,Actor
Mimi Stark,Mimi Stark,Actor
Sarah Braveman,Sarah Braveman,Actor
Fred Sica,Fred Sica,Actor
Robert Uricola,Robert Uricola,Actor
Sal Mineo,Sal Mineo,Actor
Ricardo Montalban,Ricardo Montalban,Actor
Walter Matthau,Walter Matthau,Actor
Fritz Weaver,Fritz Weaver,Actor
Dan O'Herlihy,Dan O'Herlihy,Actor
Frank Overton,Frank Overton,Actor
Larry Hagman,Larry Hagman,Actor
William Hansen,William Hansen,Actor
Russell Hardie,Russell Hardie,Actor
Russell Collins,Russell Collins,Actor
Karin Kavli,Karin Kavli,Actor
Mona Malm,Mona Malm,Actor
Carl Billquist,Carl Billquist,Actor
Ira Rubin,Ira Rubin,Actor
Sam DeFazio,Sam DeFazio,Actor
Andrea Martin,Andrea Martin,Actor
Catherine Scorsese,Catherine Scorsese,Actor
Bernard Weisberger,Bernard Weisberger,Actor
Victor Magnotta,Victor Magnotta,Actor
Richard Sweeton,Richard Sweeton,Actor
John Bivona,John Bivona,Actor
Dominick Grieco,Dominick Grieco,Actor
Dean Martin,Dean Martin,Actor
Felicia Farr,Felicia Farr,Actor
Cliff Osmond,Cliff Osmond,Actor
Barbara Pepper,Barbara Pepper,Actor
Skip Ward,Skip Ward,Actor
Doro Merande,Doro Merande,Actor
Bobo Lewis,Bobo Lewis,Actor
Tom Nolan,Tom Nolan,Actor
Sean Connery,Sean Connery,Actor
Martin Gabel,Martin Gabel,Actor
Louise Latham,Louise Latham,Actor
Diane Baker,Diane Baker,Actor
Alan Napier,Alan Napier,Actor
Bob Sweeney,Bob Sweeney,Actor
Milton Selzer,Milton Selzer,Actor
Henry Beckman,Henry Beckman,Actor
Richard Burton,Richard Burton,Actor
Grayson Hall,Grayson Hall,Actor
Cyril Delevanti,Cyril Delevanti,Actor
Mary Boylan,Mary Boylan,Actor
Jon T. Benn,Jon T. Benn,Actor
Fidelmar Durán,Fidelmar Durán,Actor
Julie Christie,Julie Christie,Actor
Geraldine Chaplin,Geraldine Chaplin,Actor
Rod Steiger,Rod Steiger,Actor
Tom Courtenay,Tom Courtenay,Actor
Siobhan McKenna,Siobhan McKenna,Actor
Rita Tushingham,Rita Tushingham,Actor
Jeffrey Rockland,Jeffrey Rockland,Actor
Robert Robyn,Robert Robyn,Actor
Beth Weber,Beth Weber,Actor
Lucky Lohr,Lucky Lohr,Actor
Margaret Peyou,Margaret Peyou,Actor
Chuck Case,Chuck Case,Actor
Charles Emery,Charles Emery,Actor
Tina Lanser,Tina Lanser,Actor
Warner Marshall,Warner Marshall,Actor
Sherry Nalder,Sherry Nalder,Actor
Carolyn Owen,Carolyn Owen,Actor
Ian Bannen,Ian Bannen,Actor
Alfred Lynch,Alfred Lynch,Actor
Roy Kinnear,Roy Kinnear,Actor
Jack Watson,Jack Watson,Actor
Ian Hendry,Ian Hendry,Actor
Norman Bird,Norman Bird,Actor
Hana Brejchová,Hana Brejchová,Actor
Vladimír Mensík,Vladimír Mensík,Actor
Josef Sebánek,Josef Sebánek,Actor
Ivan Kheil,Ivan Kheil,Actor
Jirí Hrubý,Jirí Hrubý,Actor
Milada Jezková,Milada Jezková,Actor
Josef Kolb,Josef Kolb,Actor
Marie Salacová,Marie Salacová,Actor
Jana Novaková,Jana Novaková,Actor
Geraldine Fitzgerald,Geraldine Fitzgerald,Actor
Brock Peters,Brock Peters,Actor
Jaime Sánchez,Jaime Sánchez,Actor
Thelma Oliver,Thelma Oliver,Actor
Marketa Kimbrell,Marketa Kimbrell,Actor
Baruch Lumet,Baruch Lumet,Actor
Linda Geiser,Linda Geiser,Actor
Nancy R. Pollock,Nancy R. Pollock,Actor
Catherine Deneuve,Catherine Deneuve,Actor
John Fraser,John Fraser,Actor
Yvonne Furneaux,Yvonne Furneaux,Actor
Patrick Wymark,Patrick Wymark,Actor
Renee Houston,Renee Houston,Actor
Valerie Taylor,Valerie Taylor,Actor
James Villiers,James Villiers,Actor
Helen Fraser,Helen Fraser,Actor
Hugh Futcher,Hugh Futcher,Actor
Anne Bancroft,Anne Bancroft,Actor
Flora Robson,Flora Robson,Actor
Betty Field,Betty Field,Actor
Michael Parks,Michael Parks,Actor
Ulla Bergryd,Ulla Bergryd,Actor
Richard Harris,Richard Harris,Actor
Stephen Boyd,Stephen Boyd,Actor
Zoe Sallis,Zoe Sallis,Actor
Gabriele Ferzetti,Gabriele Ferzetti,Actor
Donald Pleasence,Donald Pleasence,Actor
Françoise Dorléac,Françoise Dorléac,Actor
Lionel Stander,Lionel Stander,Actor
Iain Quarrier,Iain Quarrier,Actor
Geoffrey Sumner,Geoffrey Sumner,Actor
Robert Dorning,Robert Dorning,Actor
Marie Kean,Marie Kean,Actor
William Franklyn,William Franklyn,Actor
Ron Rich,Ron Rich,Actor
Judi West,Judi West,Actor
Lurene Tuttle,Lurene Tuttle,Actor
Harry Holcombe,Harry Holcombe,Actor
Les Tremayne,Les Tremayne,Actor
Lauren Gilbert,Lauren Gilbert,Actor
Marge Redmond,Marge Redmond,Actor
Candice Bergen,Candice Bergen,Actor
Joan Hackett,Joan Hackett,Actor
Elizabeth Hartman,Elizabeth Hartman,Actor
Shirley Knight,Shirley Knight,Actor
Joanna Pettet,Joanna Pettet,Actor
Mary-Robin Redd,Mary-Robin Redd,Actor
Jessica Walter,Jessica Walter,Actor
Kathleen Widdoes,Kathleen Widdoes,Actor
James Broderick,James Broderick,Actor
James Congdon,James Congdon,Actor
Liv Ullmann,Liv Ullmann,Actor
Margaretha Krook,Margaretha Krook,Actor
Paul Newman,Paul Newman,Actor
Julie Andrews,Julie Andrews,Actor
Lila Kedrova,Lila Kedrova,Actor
Hansjörg Felmy,Hansjörg Felmy,Actor
Tamara Toumanova,Tamara Toumanova,Actor
Ludwig Donath,Ludwig Donath,Actor
Wolfgang Kieling,Wolfgang Kieling,Actor
Günter Strack,Günter Strack,Actor
David Opatoshu,David Opatoshu,Actor
Gisela Fischer,Gisela Fischer,Actor
The Lovin' Spoonful,The Lovin' Spoonful,Actor
Frank Buxton,Frank Buxton,Actor
Louise Lasser,Louise Lasser,Actor
Julie Bennett,Julie Bennett,Actor
Len Maxwell,Len Maxwell,Actor
Mickey Rose,Mickey Rose,Actor
Bryna Wilson,Bryna Wilson,Actor
Geraldine Page,Geraldine Page,Actor
Rip Torn,Rip Torn,Actor
Peter Kastner,Peter Kastner,Actor
Michael Dunn,Michael Dunn,Actor
Tony Bill,Tony Bill,Actor
Julie Harris,Julie Harris,Actor
Karen Black,Karen Black,Actor
Dolph Sweet,Dolph Sweet,Actor
Michael O'Sullivan,Michael O'Sullivan,Actor
Peter Bernuth,Peter Bernuth,Actor
Ursula Andress,Ursula Andress,Actor
Daliah Lavi,Daliah Lavi,Actor
Charles Boyer,Charles Boyer,Actor
Patrick Cargill,Patrick Cargill,Actor
Michael Medwin,Michael Medwin,Actor
John Paul,John Paul,Actor
Angela Scoular,Angela Scoular,Actor
Maximilian Schell,Maximilian Schell,Actor
Simone Signoret,Simone Signoret,Actor
Kenneth Haigh,Kenneth Haigh,Actor
Max Adrian,Max Adrian,Actor
Lynn Redgrave,Lynn Redgrave,Actor
Robert Flemyng,Robert Flemyng,Actor
Jessie Robins,Jessie Robins,Actor
Sharon Tate,Sharon Tate,Actor
Ferdy Mayne,Ferdy Mayne,Actor
Terry Downes,Terry Downes,Actor
Fiona Lewis,Fiona Lewis,Actor
Ronald Lacey,Ronald Lacey,Actor
Josef Valnoha,Josef Valnoha,Actor
Frantisek Debelka,Frantisek Debelka,Actor
Josef Rehorek,Josef Rehorek,Actor
Vratislav Cermák,Vratislav Cermák,Actor
Jan Stöckl,Jan Stöckl,Actor
Václav Novotný,Václav Novotný,Actor
Frantisek Reinstein,Frantisek Reinstein,Actor
Frantisek Paska,Frantisek Paska,Actor
Elizabeth Taylor,Elizabeth Taylor,Actor
Brian Keith,Brian Keith,Actor
Zorro David,Zorro David,Actor
Gordon Mitchell,Gordon Mitchell,Actor
Irvin Dugan,Irvin Dugan,Actor
Fay Sparks,Fay Sparks,Actor
